tool_name,name,model_id_string,input_usd_per_m,output_usd_per_m,pricing_unit,context_window,best_for,last_verified,position,score_text_generation,score_email_writing,score_logic,score_coding,score_image_generation,score_accuracy,score_write_edit,score_summarization,score_research_fact_check,score_source_quality,score_hallucination_resistance,score_meetings_transcription,score_coding_speed,score_coding_efficiency,score_translation_speed,score_translation_accuracy,score_consistency,free_to_try,write_edit_score,summarisation_score,research_fact_checking_score,source_quality_score,hallucination_resistance_score,deep_research_score,coding_speed_score,coding_accuracy_score,debugging_score,agentic_coding_score,consistency_score,reasoning_score,image_quality_score,prompt_adherence_score,text_rendering_score,image_editing_score,transcription_score,meeting_summary_score,follow_up_score,translation_accuracy_score,translation_speed_score
Google Gemini,Gemini 3.5 Flash,gemini-3.5-flash,1.5,9,per 1M tokens,,fast default for most tasks,2026-06-09,2,7,8,7,1,,6,8,8,5,4,8,1,1,6,6,9,1,false,8,8,5,4,8,8,1,1,2,1,1,7,6,5,9,4,1,9,3,9,6
Google Gemini,Gemini 3.1 Flash-Lite,gemini-3.1-flash-lite,0.25,1.5,per 1M tokens,,cheapest for high volume,2026-06-09,3,8,7,7,9,,7,7,9,3,7,5,1,9,9,9,9,9,false,7,9,3,7,5,7,9,10,8,8,9,7,7,8,9,5,1,8,5,9,9
Llama,Llama 4 Maverick,llama-4-maverick,,,,1000000,most capable open model,2026-06-09,1,7,6,9,8,,6,6,9,5,6,6,1,9,10,2,8,6,false,6,9,5,6,6,7,9,10,7,8,6,9,9,6,4,7,1,8,5,8,2
Llama,Llama 4 Scout,llama-4-scout,,,,10000000,fits one GPU; huge context,2026-06-09,2,7,7,7,8,,6,7,8,5,5,6,1,9,6,5,8,9,false,7,8,5,5,6,6,9,9,9,7,9,7,6,6,4,7,1,5,2,8,5
Mistral Le Chat,Mistral Large 3,mistral-large-3-25-12,0.5,1.5,per 1M tokens,,most capable,2026-06-09,1,8,8,7,7,,7,8,9,6,7,8,1,8,4,7,9,7,false,8,9,6,7,8,7,8,7,8,8,7,7,4,9,4,8,1,8,5,9,7
Mistral Le Chat,Mistral Medium 3.5,mistral-medium-3.5,,,,,fast everyday workhorse,2026-06-09,2,8,7,7,6,,7,7,9,6,7,7,1,7,8,7,9,8,true,7,9,6,7,7,7,7,3,8,9,8,7,4,7,8,6,1,8,2,9,7
Whisper,Whisper large-v3,large-v3,,,,,most accurate,2026-06-09,1,7,,8,,,8,9,10,6,6,4,4,4,6,4,9,6,true,9,6,4,8,4,5,9,8,9,9,8,6,7,4,4,8,9,9,5,7,10
Whisper,Whisper large-v3-turbo,large-v3-turbo,,,,,"near-large accuracy, much faster",2026-06-09,2,6,,7,,,7,7,9,4,6,6,7,6,4,6,9,8,false,9,6,9,6,8,6,10,4,7,10,7,4,4,10,8,7,4,4,10,8,9
Whisper,Whisper small,small,,,,,light and quick on modest hardware,2026-06-09,3,5,,6,,,6,7,10,9,10,9,5,10,9,4,8,4,true,4,9,5,5,7,8,6,8,8,6,7,6,9,10,10,5,8,9,5,7,9
Whisper,Whisper tiny,tiny,,,,,fastest; lowest accuracy,2026-06-09,4,4,,4,,,4,6,7,4,8,9,9,10,9,7,4,6,true,7,9,6,6,10,6,8,4,8,4,9,7,6,9,4,9,5,5,8,4,8
