name,provider,website_url,status,last_verified,data_pricing_confidence,input_usd_per_m,output_usd_per_m,pricing_unit,price_low_usd,price_high_usd,context_window,api_free_tier,consumer_free_app,data_retention,runs_locally,privacy_label,price_label,ease_label,why_this_one,ease_score,privacy_score,score_text_generation,score_email_writing,score_logic,score_coding,score_image_generation,score_accuracy,categories,prompt_effort_score,interface_score,learning_curve_score,integration_score,data_retention_score,training_on_user_data_score,security_certifications_score,privacy_controls_score,enterprise_controls_score,deployment_flexibility_score,support_sla_score,has_web_search,shows_citations,has_file_uploads,has_image_uploads,has_voice_mode,supports_model_selection,has_image_generation,has_image_editing,has_video_generation,has_audio_generation,has_presentation_generation,has_coding_agent,has_code_execution,has_repository_access,has_deep_research,has_live_data_access,has_transcription,has_meeting_bot,has_action_items,has_api,has_mobile_app,has_desktop_app,has_browser_extension,has_calendar_integration,has_email_integration,has_workspace_integration,has_free_plan,has_paid_plan,has_team_plan,has_enterprise_plan,supports_sso,supports_scim,has_audit_logs,has_admin_controls,has_soc2,has_iso27001,has_dpa,gdpr_ready,hipaa_eligible,no_training_on_user_data,configurable_data_retention
Llama,Meta,https://llama.com,live,2026-06-03,high,,,,,,128000,yes,no,none,yes,open weights — run it fully offline,free and open source,needs a runner like Ollama to use,Meta's open model family. The backbone of most local-AI setups when you want full control and privacy.,,,,,,,,,"chat-assistant,write-things,code",7,6,9,7,6,9,5,6,4,7,8,false,false,true,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,false,true,false,true,false,false,true,true,false,true,false,true,true,true,false,true,true,false,true,true,true,true
Mistral Le Chat,Mistral AI,https://chat.mistral.ai,live,2026-06-03,medium,2,6,per 1M tokens,,,128000,no,yes,optional,no,EU-based with opt-out of training,generous free tier; Pro ~$15/mo,just open it and type,A fast capable European option. Many of its models are also open-weight if you want to self-host later.,,,,,,,,,"chat-assistant,write-things,code",10,10,5,6,9,9,8,10,5,8,5,false,true,false,true,false,true,true,true,true,false,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,false,true,false,false,false,true,true,true,false,true,true,false,true,false,false,true
DeepSeek,DeepSeek,https://deepseek.com,live,2026-06-03,low,0.27,1.1,per 1M tokens,,,128000,no,yes,yes,no,data stored on servers in China,free app; very cheap API,just open it and type,Strong reasoning and coding at a remarkably low price. Check the data policy before sensitive use.,,,,,,,,,"chat-assistant,code,write-things",4,4,10,10,8,5,5,6,10,8,6,false,true,true,false,true,false,false,true,false,true,false,false,false,false,true,true,true,false,false,true,true,false,true,true,false,false,true,true,true,false,true,false,false,false,false,false,true,true,false,true,true
Ollama,Ollama,https://ollama.com,live,2026-06-03,high,,,,,,,yes,yes,none,yes,everything runs and stays on your computer,free and open source,a bit techy to set up,The easiest way to download and run open models locally. Free private and offline once it's set up.,,,,,,,,,"chat-assistant,code,write-things",,,,,,,,,,,,true,true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,true,true,true,true
LM Studio,LM Studio,https://lmstudio.ai,live,2026-06-03,high,,,,,,,yes,yes,none,yes,models run locally — nothing uploaded,free for personal use,friendly app for running local models,A point-and-click app for running open models on your own machine — local AI without the terminal.,,,,,,,,,"chat-assistant,write-things,code",,,,,,,,,,,,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false
NotebookLM,Google,https://notebooklm.google.com,live,2026-06-03,low,,,,,,,no,yes,optional,no,says it doesn't train on your uploads,free,upload your docs and ask away,Point it at your own documents and it answers only from them with citations. Excellent for research and study.,,,,,,,,,"research,summarize",,,,,,,,,,,,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,false,true,false,false,true,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false,true,true,false,true
DeepL,DeepL,https://deepl.com,live,2026-06-03,medium,,,,,,,yes,yes,optional,no,Pro deletes text after translating,free tier; Pro from ~$9/mo,paste text and pick a language,Widely considered the most natural-sounding translator — noticeably better than the free generic ones.,,,,,,,,,translate,,,,,,,,,,,,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,true,true,false,false,true,true,true,false,true,true,false,false,false,true,true
Grammarly,Grammarly,https://grammarly.com,live,2026-06-03,low,,,,,,,no,yes,yes,no,processes your text on their servers,free tier; Premium from ~$12/mo,works everywhere you type,Catches grammar and tone issues as you write across email docs and the web. The gentle everyday writing helper.,,,,,,,,,write-things,,,,,,,,,,,,true,false,false,false,false,true,true,true,true,false,false,false,false,false,true,true,true,true,true,false,false,true,true,false,false,true,true,false,true,true,true,false,true,true,true,true,false,true,false,false,true
Poe,Quora,https://poe.com,live,2026-06-03,low,,,,,,,no,yes,optional,no,depends on the underlying model you pick,free tier; Pro is ~$20/mo,one app many AI models,Lets you try many different AI models in one place — useful when you're not sure which one suits you.,,,,,,,,,"chat-assistant,write-things",,,,,,,,,,,,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,false,false,true,true,false,false,false,false,true,false,true,false,true,false,true,false,true,true,false,true
DeepGram,Deepgram,https://deepgram.com,live,2026-06-03,medium,,,per audio hour,0.26,0.46,,yes,no,optional,no,can request no data retention on paid plans,free credits; then ~$0.26+/audio hour,developer API — needs coding,Fast accurate transcription built for developers. Reach for this when you're wiring transcription into an app.,,,,,,,,,audio-to-text,,,,,,,,,,,,true,true,true,true,true,false,false,true,true,false,false,false,false,true,false,true,true,true,false,false,true,false,false,true,true,false,true,false,false,true,false,true,true,false,false,false,false,true,true,true,false
Cohere Command,Cohere,https://cohere.com,live,2026-06-03,low,0.5,1.5,per 1M tokens,,,128000,yes,no,optional,no,business-focused with opt-out controls,free trial key; usage-based API,developer API — needs coding,A business-oriented text model with strong search and retrieval features. Aimed at developers and teams.,,,,,,,,,"write-things,summarize,code",,,,,,,,,,,,true,false,true,false,true,true,false,false,false,true,true,false,false,true,false,true,false,false,false,false,true,true,true,false,true,true,false,false,true,false,false,true,true,true,true,true,false,false,false,false,true
Jasper,Jasper,https://jasper.ai,live,2026-06-03,low,,,,39,59,,no,no,yes,no,stores content on their platform,paid only — from ~$39/mo,templates for marketing copy,"Built for marketing teams: on-brand campaigns blog posts and ads with templates. Paid only, no free tier.",,,,,,,,,write-things,,,,,,,,,,,,false,true,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,false,false,true,false,true,false,true,true,false
xAI Grok,xAI,https://x.ai/grok,live,2026-06-19,low,1.25,2.5,per 1M tokens,,,1000000,no,yes,optional,no,review xAI data controls before sensitive use,consumer app; API via OpenRouter,chat app or API,"xAI flagship models available through OpenRouter, useful for comparing another major general-purpose assistant family.",,,,,,,,,"chat-assistant,write-things,code",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
Qwen,Alibaba Cloud,https://chat.qwen.ai,live,2026-06-19,low,1.25,3.75,per 1M tokens,,,1000000,no,yes,optional,no,review provider policy before sensitive use,free app; API via OpenRouter,chat app or API,A strong open-model family with high-context general and coding models available through OpenRouter.,,,,,,,,,"chat-assistant,write-things,code",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
Amazon Nova,Amazon,https://aws.amazon.com/ai/generative-ai/nova/,live,2026-06-19,low,2.5,12.5,per 1M tokens,,,1000000,no,no,optional,no,AWS-hosted model family; review Bedrock data controls,usage-based API,developer API — needs coding,Amazon's Nova models add a major cloud-provider family to the benchmark set.,,,,,,,,,"chat-assistant,write-things,summarize",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
Moonshot Kimi,Moonshot AI,https://kimi.moonshot.cn,live,2026-06-19,low,0.74,3.5,per 1M tokens,,,262144,no,yes,optional,no,review provider policy before sensitive use,consumer app; API via OpenRouter,chat app or API,Kimi is a strong long-context and coding-focused model family available through OpenRouter.,,,,,,,,,"chat-assistant,write-things,code",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
Z.ai GLM,Z.ai,https://z.ai,live,2026-06-19,low,1.2,4.1,per 1M tokens,,,1048576,no,yes,optional,no,review provider policy before sensitive use,consumer app; API via OpenRouter,chat app or API,GLM models are high-context general assistants worth comparing against the major US and open model families.,,,,,,,,,"chat-assistant,write-things,code",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
MiniMax,MiniMax,https://www.minimax.io,live,2026-06-19,low,0.3,1.2,per 1M tokens,,,1048576,no,yes,optional,no,review provider policy before sensitive use,consumer app; API via OpenRouter,chat app or API,MiniMax offers inexpensive high-context models that are useful for value and long-context comparisons.,,,,,,,,,"chat-assistant,write-things,summarize",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
AI21 Jamba,AI21,https://www.ai21.com,live,2026-06-19,low,2,8,per 1M tokens,,,256000,no,no,optional,no,enterprise-focused API; review provider data controls,usage-based API,developer API — needs coding,AI21's Jamba model adds another enterprise-focused long-context model family to the benchmark set.,,,,,,,,,"chat-assistant,write-things,summarize",,,,,,,,,,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
